Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
eduardomenoni,Eduardo Menoni,"🚨| URGENTE: Emiten una orden de detención contra el ex presidente socialista Evo Morales, acusado trata y tráfico de personas según la TV Pública de Bolivia. 🇧🇴 ¿Apoyas que este PEDÓFILO vaya preso lo antes posible? https://t.co/Yo2VuATThD",Thu Oct 03 00:44:27 +0000 2024,12136,41737
c4jimenez,Carlos Jiménez,"REAPARECE LA RATERA del
CORVETTE: AHORA TRABAJA en @FiscaliaCDMX
Es Paola Buen Abad
En 2022 se robó un Corvette d 1.2 mdp en Jalisco.
Su jefe era un reo.
Luego la @SSC_CDMX ma detuvo así
Quedó libre… 
Y ahora labora en la Fiscalía d
@UlisesLaraLopez

Las imágenes en #C4EnAlerta https://t.co/MZK4CqnpAP",Tue Oct 08 00:12:47 +0000 2024,7721,21036
PatoBullrich,Patricia Bullrich,"EL PEDÓFILO MÁS IMPORTANTE DE LATINOAMÉRICA, ADENTRO

Mírenle bien la cara a este violador. Se trata de Peter Francis Kennedy, dominicano y norteamericano, que tenía un pedido de captura internacional con alerta roja desde Bogotá, Colombia. Esta persona violaba a niños, animales, https://t.co/QlcrkcaCli",Thu Oct 03 17:25:30 +0000 2024,7647,37137
ryo_hermoso,Ryo 💞,"Hagan el favor 🤩 ya ven que es de mecha corta y no aguanta vara. 🥳

No tiene paciencia pues 🤷‍♀️

Ya no usen el #Presirvienta de favor 🤣 https://t.co/WtNnwYnfCN",Tue Oct 08 20:32:55 +0000 2024,1592,2046
Arteymas_,El Club del Arte 🎨📷📚🖼🕍🎼,Definitivamente las mujeres necesitan aprender defensa personal para que ningún delincuente se atreva a hacerles daño: https://t.co/AUMPs5fkW2,Mon Oct 07 13:46:31 +0000 2024,7054,63665
Melissa_Bely,Melissa Ⓜ️,"Oigan'..

¿ Ahora se explican porqué el Director del Canal 66 de Mexicali despidió al conductor Gustavo Macalpin o seguimos creyendo que no hay censura en México ?

👇 https://t.co/0jdNq7j0hA",Tue Oct 08 21:45:18 +0000 2024,3192,6530
davidsantosvlog,David Santos,"Se llama Henry R.C tiene 31 años y es ECUATORIANO y ha sido detenido por agredir a un bebé en Montjuic, Barcelona.

Exigimos expulsión inmediata de España. https://t.co/4BCLm5oP2T",Mon Oct 07 17:44:25 +0000 2024,9331,40401
soscarcelesec,#SOScárcelesEc,"#URGENTE 🚨 

Por medio de otro Habeas Corpus, Alias #Palanqueta también dejó la Cárcel de Máxima de Seguridad “La Roca”. Álvaro Montaño Valencia, líder del GDO #LosLobos, fue trasladado hace aproximadamente dos semanas al Centro de Privación de Libertad de #Turi, en la ciudad de https://t.co/ioUUyyiH3N",Tue Oct 08 23:41:47 +0000 2024,259,221
c4jimenez,Carlos Jiménez,"SE PELEA, PIERDE… y SUELTA de BALAZOS en LA MORELOS
Aitzan Jafet Ávila
Discutió con una joven y su familia en Herreros 51.
Al verse superado, sacó esta pistola y les disparó.
Lesionó a 3 hombres, uno está grave.
Agentes de @SSC_CDMX Sector Consulado, lo detuvieron.
Así acabó. https://t.co/vYdkrQJytj",Tue Oct 08 19:40:57 +0000 2024,352,1971
AlertaMundoNews,Alerta Mundial,🇲🇽 | México: Policías de Tultepec prefieren huir de asalto que ayudar a una mujer. https://t.co/OBkXAAPUUA,Tue Oct 08 19:00:34 +0000 2024,1994,8086
PatoBullrich,Patricia Bullrich,"SOLO CUANDO EL SEMÁFORO SE INTERRUMPE

Estamos haciendo lo que nunca antes se hizo. Ya no hay más piquetes y cortes en la Argentina. Tan solo miren este video de cómo hoy se manifiestan estos grupos que antes hacían de la Ciudad una tierra de nadie.

Se terminó la extorsión y la https://t.co/gLFwtf1ANB",Tue Oct 08 15:56:53 +0000 2024,2399,17103
pictoline,pictoline,"Mucho se escucha de los lenguajes del amor, pero ¿lenguajes del estrés? 😵‍💫 Conoce de qué van 👀

#LenguajesDelEstrés #EstrésEmocional #ManejoDelEstrés #SaludMental  #SíntomasDelEstrés #Pictoline https://t.co/TdbJdI1MKJ",Tue Oct 08 23:30:02 +0000 2024,94,254
vampipe,vampipe ⍨,"Anoche, después de criticar la ilustración emblema del gobierno de @Claudiashein, me preguntaron si yo sería capaz de mejorarla...

La respuesta es ""no lo sé"", pero lo intenté.

¿Cuál prefieren? https://t.co/nlGLKSioRx",Tue Oct 01 16:44:21 +0000 2024,6022,52307
JuanSGuarnizo,ElJuaniquilador 💪,"Hace unos días les compartí una foto del nuevo estudio pidiéndoles sugerencias ya que no se me ocurre nada y me urge ponerme manos a la obra. Varios me preguntaron las medidas, así que aquí se las dejo por si alguno quiere recomendarme cositas. 🥴

Importante: el plan es tener un https://t.co/nLfKognFJe",Tue Oct 08 18:45:48 +0000 2024,178,11147
Kicillofok,Axel Kicillof,"No es la primera vez que en nuestro país intentan arancelar y privatizar las universidades, pero siempre existió un factor fundamental para impedirlo: la lucha de los estudiantes, los docentes y la comunidad entera.

Hoy estamos discutiendo si va a haber presupuesto para la https://t.co/3DXUYBYaPw",Tue Oct 08 23:17:54 +0000 2024,1274,5250
GalaMontes2,Galamontes,"Así cuando veo el  disque “trabajo “  de René F. 

Lávate la boca cuando hables de mi. https://t.co/Z6KpChGOo8",Tue Oct 08 20:12:41 +0000 2024,1565,25411
ElNecio_Cuba,El Necio,"Yo sabía bien, que ibas a volver
que ibas a volver de cualquier lugar
porque el dolor no ha matado la utopía
porque el amor es eterno
y la gente que te ama no te olvida.

♥️ CHE VIVE https://t.co/NsIYxLkgGL",Tue Oct 08 23:56:12 +0000 2024,279,626
lamanoconpelos1,La mano Con pelos 1,Tik toker muere al grabar video cantando y caer por las escaleras de un metro 👩💥☠️ ( Todo por no ver donde caminaba ☠️ ) https://t.co/y9aBm5VbkG,Mon Sep 30 03:02:02 +0000 2024,3272,60051
